gemeratopm, max, min, mean, standev
0, 2.000000, 2.000000, 2.000000, 0.000000
1, 2.000000, 2.000000, 2.000000, 0.000000
2, 1.000000, 1.000000, 1.000000, 0.000000
3, 1.000000, 1.000000, 1.000000, 0.000000
4, 0.000000, 0.000000, 0.000000, 0.000000
5, 1.000000, 1.000000, 1.000000, 0.000000
6, 0.000000, 0.000000, 0.000000, 0.000000
7, 1.000000, 1.000000, 1.000000, 0.000000
8, 1.000000, 1.000000, 1.000000, 0.000000
9, 2.000000, 2.000000, 2.000000, 0.000000
10, 1.000000, 1.000000, 1.000000, 0.000000
11, 2.000000, 2.000000, 2.000000, 0.000000
12, 1.000000, 1.000000, 1.000000, 0.000000
13, 2.000000, 2.000000, 2.000000, 0.000000
14, 1.000000, 1.000000, 1.000000, 0.000000
15, 2.000000, 2.000000, 2.000000, 0.000000
16, 1.000000, 1.000000, 1.000000, 0.000000
17, 2.000000, 2.000000, 2.000000, 0.000000
18, 2.000000, 2.000000, 2.000000, 0.000000
19, 1.000000, 1.000000, 1.000000, 0.000000
